> x=-6.568, y=-6.855, z=24.274
FracGL -> x=-6.570, y=-6.864, z=24.263
FracGL -> x=-6.572, y=-6.874, z=24.253
FracGL -> x=-6.573, y=-6.884, z=24.242
FracGL -> x=-6.575, y=-6.893, z=24.232
FracGL -> x=-6.577, y=-6.903, z=24.221
FracGL -> x=-6.579, y=-6.913, z=24.211
FracGL -> x=-6.581, y=-6.923, z=24.201
FracGL -> x=-6.583, y=-6.933, z=24.190
FracGL -> x=-6.585, y=-6.943, z=24.180
FracGL -> x=-6.587, y=-6.953, z=24.170
FracGL -> x=-6.589, y=-6.963, z=24.160
FracGL -> x=-6.591, y=-6.973, z=24.150
FracGL -> x=-6.593, y=-6.983, z=24.140
FracGL -> x=-6.595, y=-6.993, z=24.130
FracGL -> x=-6.597, y=-7.003, z=24.120
FracGL -> x=-6.600, y=-7.013, z=24.111
FracGL -> x=-6.602, y=-7.023, z=24.101
FracGL -> x=-6.604, y=-7.033, z=24.091
FracGL -> x=-6.607, y=-7.044, z=24.082
FracGL -> x=-6.609, y=-7.054, z=24.072
FracGL -> x=-6.612, y=-7.064, z=24.063
FracGL -> x=-6.614, y=-7.075, z=24.054
FracGL -> x=-6.617, y=-7.085, z=24.044
FracGL -> x=-6.619, y=-7.095, z=24.035
FracGL -> x=-6.622, y=-7.106, z=24.026
FracGL -> x=-6.625, y=-7.116, z=24.017
FracGL -> x=-6.627, y=-7.127, z=24.008
FracGL -> x=-6.630, y=-7.137, z=23.999
FracGL -> x=-6.633, y=-7.148, z=23.990
FracGL -> x=-6.636, y=-7.159, z=23.981
FracGL -> x=-6.639, y=-7.169, z=23.972
FracGL -> x=-6.642, y=-7.180, z=23.963
FracGL -> x=-6.645, y=-7.191, z=23.954
FracGL -> x=-6.648, y=-7.201, z=23.946
FracGL -> x=-6.651, y=-7.212, z=23.937
FracGL -> x=-6.654, y=-7.223, z=23.929
FracGL -> x=-6.657, y=-7.234, z=23.920
FracGL -> x=-6.660, y=-7.245, z=23.912
FracGL -> x=-6.664, y=-7.256, z=23.904
FracGL -> x=-6.667, y=-7.266, z=23.895
FracGL -> x=-6.670, y=-7.277, z=23.887
FracGL -> x=-6.673, y=-7.288, z=23.879
FracGL -> x=-6.677, y=-7.299, z=23.871
FracGL -> x=-6.680, y=-7.310, z=23.863
FracGL -> x=-6.684, y=-7.321, z=23.855
FracGL -> x=-6.687, y=-7.333, z=23.847
FracGL -> x=-6.691, y=-7.344, z=23.839
FracGL -> x=-6.695, y=-7.355, z=23.832
FracGL -> x=-6.698, y=-7.366, z=23.824
FracGL -> x=-6.702, y=-7.377, z=23.816
FracGL -> x=-6.706, y=-7.389, z=23.809
FracGL -> x=-6.709, y=-7.400, z=23.802
FracGL -> x=-6.713, y=-7.411, z=23.794
FracGL -> x=-6.717, y=-7.422, z=23.787
FracGL -> x=-6.721, y=-7.434, z=23.780
FracGL -> x=-6.725, y=-7.445, z=23.772
FracGL -> x=-6.729, y=-7.457, z=23.765
FracGL -> x=-6.733, y=-7.468, z=23.758
FracGL -> x=-6.737, y=-7.480, z=23.751
FracGL -> x=-6.741, y=-7.491, z=23.744
FracGL -> x=-6.745, y=-7.503, z=23.738
FracGL -> x=-6.749, y=-7.514, z=23.731
FracGL -> x=-6.754, y=-7.526, z=23.724
FracGL -> x=-6.758, y=-7.537, z=23.717
FracGL -> x=-6.762, y=-7.549, z=23.711
FracGL -> x=-6.766, y=-7.561, z=23.704
FracGL -> x=-6.771, y=-7.572, z=23.698
FracGL -> x=-6.775, y=-7.584, z=23.692
FracGL -> x=-6.780, y=-7.596, z=23.685
FracGL -> x=-6.784, y=-7.608, z=23.679
FracGL -> x=-6.789, y=-7.619, z=23.673
FracGL -> x=-6.793, y=-7.631, z=23.667
FracGL -> x=-6.798, y=-7.643, z=23.661
FracGL -> x=-6.803, y=-7.655, z=23.655
FracGL -> x=-6.807, y=-7.667, z=23.649
FracGL -> x=-6.812, y=-7.679, z=23.644
FracGL -> x=-6.817, y=-7.691, z=23.638
FracGL -> x=-6.822, y=-7.703, z=23.632
FracGL -> x=-6.826, y=-7.715, z=23.627
FracGL -> x=-6.831, y=-7.727, z=23.621
FracGL -> x=-6.836, y=-7.739, z=23.616
FracGL -> x=-6.841, y=-7.751, z=23.611
FracGL -> x=-6.846, y=-7.763, z=23.605
FracGL -> x=-6.851, y=-7.775, z=23.600
FracGL -> x=-6.856, y=-7.787, z=23.595
FracGL -> x=-6.861, y=-7.799, z=23.590
FracGL -> x=-6.866, y=-7.812, z=23.585
FracGL -> x=-6.872, y=-7.824, z=23.580
FracGL -> x=-6.877, y=-7.836, z=23.575
FracGL -> x=-6.882, y=-7.848, z=23.571
FracGL -> x=-6.887, y=-7.861, z=23.566
FracGL -> x=-6.893, y=-7.873, z=23.561
FracGL -> x=-6.898, y=-7.885, z=23.557
FracGL -> x=-6.904, y=-7.898, z=23.552
